 Commenter , Information Requested , Type of Information Needed 
" John F. Cavallaro, PhD ", Revival of programs like the CDC Bridge Program to ensure no-cost access to vaccines , Programmatic 
" John F. Cavallaro, PhD "," FDA decisions based on long-term public welfare outcomes, rather than short-term financial or economic analyses ", Decision-Making/Criteria 
 --- , --- , --- 
 Not specified (public comment) , A four-week public comment period before an upcoming committee meeting , Procedural/Regulatory 
 Not specified (public comment) , Universal access to updated COVID vaccines for individuals of all ages , Policy/Recommendation 
 Not specified (public comment) , Full coverage of COVID vaccines by public funds/insurance at a regular interval of at least every six months , Policy/Recommendation 
 Not specified (public comment) , Vaccine schedule updates to address waning efficacy and emerging new SARS-CoV-2 strains , Scientific/Technical 
 Not specified (public comment) , Updates to all vaccine types to match perpetually emerging variants , Scientific/Technical 
 Not specified (public comment) , Access to all vaccine options made by all three manufacturers , Policy/Recommendation 
 Not specified (public comment) ," Support for vaccine options in addition to injection, such as liquids, pills, or nasal sprays ", Scientific/Technical 
 Not specified (public comment) , Recommendations that anticipate the next dominant strain in the next six months , Scientific/Technical 
 Not specified (public comment) ," Equitable and affordable access to updated vaccines, addressing access limitations due to financial and demographic constraints ", Policy/Recommendation 
 Not specified (public comment) ," Accountability from Dr. Marty Makary, commissioner of the FDA, to listen to public needs and base decisions on long-term public welfare outcomes ", Administrative/Accountability 
 --- , --- , --- 
 Not specified , COVID-19 vaccine effectiveness data among adults aged ≥18 years , Quantitative data 
 Not specified , Prevalence of Long COVID among US adults , Epidemiological data 
 Not specified , Surveillance data on Multisystem Inflammatory Syndrome in Children , Epidemiological data 
 Not specified , Effectiveness of COVID-19 vaccines (2023-2024 formula) , Quantitative data 
 Not specified , Comparison of COVID-19 boosters versus primary series , Comparative analysis 
 Not specified , Evaluation of waning SARS-CoV-2 vaccine-induced immunity , Systematic review and meta-analysis 
 Not specified , FDA's 2025-26 flu vaccine recommendations , Regulatory guidance 
 Not specified ," Information on the CDC's ""Wild to Mild"" campaign ", Public health campaign information 
 --- , --- , --- 
 Highlander Health Institute , Adoption of Dataset-JSON as an exchange standard for submitting electronic study data to FDA , Technical information on data standards and exchange formats 
 Highlander Health Institute ," Information on the benefits of adopting Dataset-JSON, including its ability to support nested data formats and embedded metadata ", Technical information on data standards and exchange formats 
 Highlander Health Institute ," Details on the limitations of existing exchange formats, such as XPT, and the advantages of JSON ", Technical information on data standards and exchange formats 
 Highlander Health Institute , Feedback on the FDA's pilot project examining the use of Dataset-JSON for data submissions , Information on FDA's pilot project and its findings 
 Highlander Health Institute , Information on the importance of considering clinical trial data and real-world data as two sides of the same coin , Regulatory and policy information on data standards and exchange formats 
 Highlander Health Institute , Details on the value of leveraging both clinical trial data and real-world data to provide a holistic perspective on a patient's health , Regulatory and policy information on data standards and exchange formats 
 --- , --- , --- 
" Aaron Siri, Managing Partner of Siri & Glimstad LLP "," Transparency and accountability from federal government agencies, particularly HHS, FDA, and CDC, regarding their handling of COVID-19 vaccine safety and adverse events "," Documentary evidence, government data, and high-impact journal sources to support claims of vaccine injury and negligence "
" Aaron Siri, Managing Partner of Siri & Glimstad LLP "," Details on clinical trials for COVID-19 vaccines, including control groups, safety follow-up, and participant numbers ", Scientific data and research methodology information 
" Aaron Siri, Managing Partner of Siri & Glimstad LLP "," Information on the economic and regulatory framework for vaccines, including the National Childhood Vaccine Injury Act of 1986 and its impact on pharmaceutical company liability "," Legislative and regulatory information, economic data, and industry practices "
" Aaron Siri, Managing Partner of Siri & Glimstad LLP ", Examples of structural conflicts within HHS and other federal health agencies that may undermine their vaccine safety duties ," Documentary evidence, expert testimony, and case studies "
" Aaron Siri, Managing Partner of Siri & Glimstad LLP "," Data on the Vaccine Injury Compensation Program (VICP) and the Countermeasures Injury Compensation Program (CICP), including claim outcomes and payouts "," Government data, statistical analysis, and program evaluation information "
 --- , --- , --- 
 Not specified (public commenter) , Extended public comment period (4 weeks) , Procedural 
 Not specified (public commenter) , Universal access to updated COVID vaccines for all ages , Regulatory/Policy 
 Not specified (public commenter) , Full coverage of COVID vaccines by public funds/insurance at regular intervals (every 6 months) , Regulatory/Policy 
 Not specified (public commenter) , Vaccine schedule that addresses waning efficacy and emergence of new variants , Scientific/Technical 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified (public commenter) , Access to all vaccine options from all manufacturers , Regulatory/Policy 
 Not specified (public commenter) ," Support for alternative vaccine formats (liquids, pills, nasal sprays) ", Scientific/Technical 
 Not specified (public commenter) , Recommendations that anticipate future dominant strains , Scientific/Technical 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Regulatory/Policy 
 Not specified (public commenter) , Revival of programs like the CDC bridge program for no-cost access to vaccines , Regulatory/Policy 
